Close,High,Open,Low
1553.6060641879667,1570.4867444999854,1553.254551285351,1550.330180335203
1551.4679473063454,1570.4783548902233,1551.3266169309657,1546.5977060681919
1549.0184480550515,1568.8731038435947,1549.1053900629738,1543.906479519814
1546.6079169181614,1566.588546957726,1546.6500924337865,1541.404673833074
1544.2960393168826,1564.227211729772,1544.2613540739883,1539.0875210260292
1542.1026651441935,1561.9281106149472,1541.9777742723365,1536.9087934981765
1540.0282165278456,1559.7362993832353,1539.8136533689553,1534.8551659080383
1538.0683967924635,1557.6600344748101,1537.7676020496867,1532.9170673252443
1536.217524899541,1555.6974703877406,1535.8348414311,1531.087369338277
1534.4697514678312,1553.8436849186842,1534.0095962347607,1529.359794131634
1532.8193980153048,1552.093059544,1532.2860445584981,1527.7285772460057
1531.261054610578,1550.4399816131888,1530.6585697950081,1526.1883235327327
1529.789597848987,1548.8790557673778,1529.1218317579287,1524.7339541324432
1528.4001852757306,1547.405157466024,1527.6707764297653,1523.3606781406029
1527.0882429618568,1546.0134385209365,1526.3006279806925,1522.0639732859124
1525.8494515480745,1544.6993181308317,1525.006875737934,1520.8395699176526
1524.6797323682301,1543.458469990834,1523.7852601796828,1519.683436598291
1523.575234128261,1542.286808733639,1522.6317591747604,1518.5917667202616
1522.5323202595516,1541.180476692976,1521.542574822421,1517.560965938382
1521.547556956056,1540.135831269334,1520.5141209735925,1516.5876403246925
1520.6177018717576,1539.1494329576635,1519.5430114315295,1515.6685851905436
1519.7396934462326,1538.2180340293385,1518.6260488052517,1514.8007745340626
1518.9106408247462,1537.3385678410198,1517.7602139828796,1513.9813510766744
1518.127814340175,1536.5081387383348,1516.9426561914186,1513.207616855368
1517.3886365255714,1535.724012522097,1516.1706836106262,1512.4770243395844
1516.6906736278293,1534.983607445982,1515.4417545101805,1511.7871680434275
1516.0316275945204,1534.2844857161094,1514.7534688810072,1511.1357766055648
1515.4093285075276,1533.6243454645814,1514.1035605332172,1510.5207053107397
